                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7676,                 4.0174,                 4.0889,                 1.7353,                0.20455,                0.10227,                0.17907,                0.09632,                0.20455,                0.10227,                0.17282,                0.08719,                 1.1667,                 2.1394,                 38.379,                 1.2633,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.0022,                 1.7393,                 1.5965,                 1.0963,                0.61684,                0.95455,                0.81405,                0.47978,                0.61684,                0.95455,                0.81405,                0.39068,                 1.1773,                 2.3048,                 10.768,                 1.0818,              0.0003466,              0.0003466,              0.0003466
                      3,                 0.8699,                 1.5345,                0.85823,                0.98283,                0.73639,                0.97302,                0.91165,                0.51143,                0.50273,                0.74135,                0.55909,                0.26071,                 1.1242,                 2.2315,                 7.9903,                 1.0591,             0.00052288,             0.00052288,             0.00052288
                      4,                 0.9038,                  1.519,                0.74767,                0.98859,                0.82499,                  0.984,                 0.9623,                0.44226,                0.75446,                0.89935,                0.84574,                0.37716,                 1.5635,                 2.4833,                 5.5551,                 1.3333,             0.00069552,             0.00069552,             0.00069552
                      5,                 0.8929,                 1.5315,                0.72483,                 1.0084,                0.85828,                      1,                0.95231,                0.45369,                0.75928,                0.88636,                0.78074,                0.35733,                 1.4165,                 2.1357,                 3.3774,                 1.3337,             0.00086453,             0.00086453,             0.00086453
                      6,                0.85416,                 1.4087,                0.79237,                0.98604,                0.95508,                0.90308,                0.99097,                0.53868,                0.89847,                0.85797,                0.91836,                0.54115,                0.91402,                 1.8671,                 1.7077,                0.99461,              0.0010299,              0.0010299,              0.0010299
                      7,                0.87839,                 1.6203,                0.71383,                      1,                0.74765,                0.91542,                0.99202,                0.58603,                 0.5495,                0.73242,                0.70122,                0.42396,                 1.0393,                 2.3328,                0.92097,                 1.0632,              0.0011917,              0.0011917,              0.0011917
                      8,                0.76067,                 1.5539,                 0.6354,                0.92542,                0.64959,                0.92298,                0.96955,                 0.5905,                 0.9002,                0.46023,                0.50197,                0.28312,                 1.0099,                 3.1456,                 1.3335,                 1.0145,              0.0013498,              0.0013498,              0.0013498
                      9,                0.79536,                 1.5165,                0.70606,                0.95325,                0.10783,                0.16477,                0.05231,                0.01418,                0.06575,                0.11364,                0.04078,                0.01808,                 3.0653,                 9.2972,                 5.9409,                 2.0102,              0.0015043,              0.0015043,              0.0015043
                     10,                0.84369,                 1.5989,                0.79245,                 0.9826,                0.69899,                0.55941,                0.53605,                0.21151,                 0.5004,                0.42045,                0.32929,                0.13938,                 2.0763,                 7.4257,                 2.4614,                 1.5041,              0.0015185,              0.0015185,              0.0015185
                     11,                0.83686,                 1.5839,                0.64317,                0.98592,                0.72578,                0.78409,                  0.886,                0.44887,                0.55377,                0.67045,                0.67134,                0.26477,                  1.419,                 3.8148,                 1.7349,                 1.2465,              0.0015185,              0.0015185,              0.0015185
                     12,                 0.8262,                 1.4233,                0.61044,                0.97235,                0.92029,                0.84441,                 0.9686,                0.54973,                0.82237,                0.76868,                0.87928,                0.38083,                 1.3894,                 3.6958,                 2.6226,                 1.3661,               0.001502,               0.001502,               0.001502
                     13,                0.90251,                 1.4808,                0.61914,                0.99988,                0.93578,                0.89159,                 0.9665,                0.59016,                 0.8497,                0.82874,                0.88389,                0.41463,                 1.0451,                 2.4022,                 2.1237,                 1.1386,              0.0014855,              0.0014855,              0.0014855
                     14,                0.80399,                 1.3013,                0.57566,                0.98403,                0.95634,                0.86364,                0.95896,                0.57594,                 0.9017,                0.81818,                0.88973,                0.45446,                0.98007,                 2.1102,                 1.3851,                 1.0909,               0.001469,               0.001469,               0.001469
                     15,                0.91169,                 1.4005,                0.60283,                 1.0065,                0.96771,                0.94221,                0.99068,                0.50393,                0.88869,                0.87588,                 0.8856,                0.42809,                 1.2248,                 2.3306,                 1.2431,                   1.23,              0.0014525,              0.0014525,              0.0014525
                     16,                0.80111,                 1.2817,                0.56587,                0.95984,                0.97953,                0.98706,                0.99357,                0.54571,                0.91335,                0.91888,                0.91443,                0.42483,                 1.1214,                 1.9833,                   1.01,                 1.1392,               0.001436,               0.001436,               0.001436
