                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2088,                 9.6392,                0.86654,                0.00943,                   0.91,                0.00921,                0.00442,                  1.923,                    inf,                0.87052,                0.00042,                0.00042,                0.00042
                      2,                  1.988,                 1.7575,                0.84561,                0.14918,                0.13679,                0.05705,                0.02498,                 2.0928,                    nan,                0.89755,             0.00085149,             0.00085149,             0.00085149
                      3,                 1.9553,                 1.2942,                0.83026,                0.14918,                0.13679,                0.05705,                0.02498,                      0,                    inf,                      0,              0.0012743,              0.0012743,              0.0012743
                      4,                 1.8164,                 1.0555,                0.83183,                0.14918,                0.13679,                0.05705,                0.02498,                    nan,                    nan,                    nan,              0.0016883,              0.0016883,              0.0016883
                      5,                   1.84,                 1.0067,                0.83117,                0.14918,                0.13679,                0.05705,                0.02498,                    nan,                    nan,                    nan,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.873,                0.92252,                0.82392,                0.74824,                   0.55,                0.59316,                0.28646,                 1.7764,                    nan,                0.91272,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.8968,                 1.2962,                0.84722,                0.88584,                   0.94,                0.96397,                0.40982,                 1.9351,                0.92523,                0.89682,               0.001901,               0.001901,               0.001901
                      8,                  1.797,                0.92572,                0.82423,                0.84922,                   0.56,                0.57859,                0.30945,                 1.8476,                0.97086,                0.85873,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.7244,                0.72989,                0.81104,                0.86351,                   0.92,                0.95286,                0.49141,                 1.7615,                0.63424,                0.85934,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.6966,                0.68412,                0.81033,                0.83857,                   0.67,                0.74773,                0.38631,                 2.0667,                0.90477,                 0.8791,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.6788,                0.68151,                0.82004,                0.89712,                0.87206,                0.94721,                 0.4751,                 1.8091,                0.56875,                0.85885,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.6623,                0.66351,                0.82383,                0.85755,                0.90304,                0.92395,                0.45585,                 1.6212,                0.63566,                 0.8613,               0.001802,               0.001802,               0.001802
                     13,                 1.6673,                0.72652,                0.83152,                  0.886,                0.85491,                0.94147,                 0.5207,                 1.4362,                0.57699,                0.84961,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.5426,                 0.6953,                0.80193,                0.94353,                0.83549,                0.95285,                0.55108,                 1.4642,                0.55178,                0.85399,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.6218,                0.63179,                0.82081,                0.89563,                   0.86,                0.92691,                0.50543,                  1.622,                0.63887,                0.85875,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.6546,                0.69043,                0.81294,                0.88308,                   0.89,                 0.9405,                0.49589,                 1.6533,                  0.575,                0.85376,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.6312,                0.65962,                0.80714,                 0.8733,                   0.89,                0.95461,                0.55324,                 1.3619,                 0.5471,                0.84806,               0.001703,               0.001703,               0.001703
                     18,                 1.6791,                0.66095,                0.83352,                0.94697,                   0.83,                0.95263,                0.49126,                 1.5985,                0.56778,                0.85246,              0.0016832,              0.0016832,              0.0016832
