                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3501,                 6.9585,                0.97343,                0.32252,                0.92593,                0.35033,                0.30212,                0.61265,                 74.079,                0.89731,             0.00065152,             0.00065152,             0.00065152
                      2,                0.90524,                 2.1917,                0.95238,                0.96036,                0.96296,                0.98997,                0.82606,                0.73201,                  1.268,                0.92052,              0.0013051,              0.0013051,              0.0013051
                      3,                0.82521,                 1.1464,                0.88716,                 0.9607,                0.96296,                0.98883,                0.79422,                0.75003,                0.78312,                0.92455,              0.0019455,              0.0019455,              0.0019455
                      4,                0.85306,                0.84672,                0.89523,                0.81316,                0.85185,                0.91588,                0.74949,                0.76648,                 1.0415,                0.92158,              0.0019406,              0.0019406,              0.0019406
                      5,                0.88342,                0.77089,                0.94091,                0.96227,                      1,                0.98071,                 0.8611,                 0.6281,                0.53293,                0.91301,              0.0019406,              0.0019406,              0.0019406
                      6,                0.83018,                0.77686,                 0.9423,                0.94325,                      1,                0.98321,                 0.8763,                0.56862,                0.51294,                 0.9088,              0.0019208,              0.0019208,              0.0019208
                      7,                0.76364,                0.74322,                0.92909,                0.96093,                      1,                0.98857,                0.90306,                 0.4912,                0.43029,                0.90147,               0.001901,               0.001901,               0.001901
                      8,                0.70819,                0.59653,                0.91019,                0.99861,                      1,                  0.995,                 0.8837,                0.55863,                0.39186,                0.90424,              0.0018812,              0.0018812,              0.0018812
                      9,                0.73058,                0.63883,                0.90394,                0.99778,                      1,                  0.995,                0.88378,                0.54696,                0.38666,                0.90846,              0.0018614,              0.0018614,              0.0018614
                     10,                0.80318,                0.73173,                 1.0324,                0.99705,                      1,                  0.995,                0.91871,                0.46073,                0.42696,                 0.9051,              0.0018416,              0.0018416,              0.0018416
                     11,                0.66506,                0.51808,                 0.9044,                      1,                 0.9953,                  0.995,                0.93753,                0.38204,                 0.3767,                0.89348,              0.0018218,              0.0018218,              0.0018218
                     12,                0.63696,                0.53985,                0.92217,                0.95864,                      1,                 0.9925,                0.90409,                 0.4615,                 0.3883,                0.89141,               0.001802,               0.001802,               0.001802
                     13,                0.71149,                 0.5423,                0.92041,                0.99579,                      1,                  0.995,                0.91859,                0.51564,                0.36442,                0.90474,              0.0017822,              0.0017822,              0.0017822
                     14,                0.74936,                0.60665,                0.93527,                0.99642,                      1,                  0.995,                 0.9178,                0.43927,                0.34722,                0.89386,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.7041,                0.60931,                0.91992,                0.99862,                      1,                  0.995,                0.91344,                0.48837,                0.34361,                0.88791,              0.0017426,              0.0017426,              0.0017426
                     16,                0.71441,                0.57598,                0.91638,                0.99747,                      1,                  0.995,                0.92151,                0.43858,                0.34254,                0.88585,              0.0017228,              0.0017228,              0.0017228
                     17,                0.66048,                0.54937,                0.90634,                0.99821,                      1,                  0.995,                 0.9121,                0.43259,                0.30971,                0.88347,               0.001703,               0.001703,               0.001703
                     18,                0.68194,                0.52593,                0.90488,                0.99655,                      1,                  0.995,                0.92181,                0.43868,                0.35119,                0.88791,              0.0016832,              0.0016832,              0.0016832
                     19,                0.64098,                0.53056,                0.93593,                0.99751,                      1,                  0.995,                0.90541,                0.48649,                0.32818,                0.87545,              0.0016634,              0.0016634,              0.0016634
                     20,                0.69175,                0.55205,                0.91242,                0.99834,                      1,                  0.995,                0.90888,                0.43837,                0.31132,                0.90052,              0.0016436,              0.0016436,              0.0016436
                     21,                0.61305,                 0.4645,                0.90403,                      1,                 0.9949,                  0.995,                0.91417,                0.47631,                0.33483,                0.88885,              0.0016238,              0.0016238,              0.0016238
                     22,                0.63061,                0.46137,                0.88061,                0.99719,                      1,                  0.995,                0.94826,                0.38027,                0.31167,                0.89125,               0.001604,               0.001604,               0.001604
                     23,                0.61168,                0.48516,                0.91127,                0.99756,                      1,                  0.995,                0.89223,                  0.529,                0.32647,                0.89873,              0.0015842,              0.0015842,              0.0015842
                     24,                0.63344,                0.46417,                0.90469,                0.99851,                      1,                  0.995,                0.91941,                0.44325,                0.31748,                0.89559,              0.0015644,              0.0015644,              0.0015644
                     25,                0.62298,                0.47905,                 0.9082,                0.99833,                      1,                  0.995,                0.88222,                0.52563,                0.34414,                0.88611,              0.0015446,              0.0015446,              0.0015446
                     26,                0.57789,                0.39437,                0.88808,                0.94417,                      1,                 0.9925,                0.90076,                0.48265,                0.36229,                0.90163,              0.0015248,              0.0015248,              0.0015248
                     27,                0.67928,                 0.5654,                0.94096,                 0.9985,                      1,                  0.995,                0.93237,                0.40005,                0.32126,                0.88393,               0.001505,               0.001505,               0.001505
                     28,                0.55114,                0.49378,                0.89817,                0.99972,                      1,                  0.995,                0.94079,                0.37496,                0.31185,                0.87881,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.5861,                0.44587,                0.88944,                 0.9974,                      1,                  0.995,                 0.9034,                0.43588,                0.30507,                0.87694,              0.0014654,              0.0014654,              0.0014654
                     30,                0.58307,                0.40499,                0.86404,                0.99757,                      1,                  0.995,                0.89288,                0.42009,                0.27421,                0.87401,              0.0014456,              0.0014456,              0.0014456
                     31,                0.58593,                 0.4366,                0.88454,                0.99799,                      1,                  0.995,                0.94486,                0.38978,                0.28175,                  0.865,              0.0014258,              0.0014258,              0.0014258
                     32,                0.61252,                0.45635,                0.90518,                0.99818,                      1,                  0.995,                0.91876,                0.40509,                0.29069,                0.87275,               0.001406,               0.001406,               0.001406
                     33,                0.63162,                 0.5192,                 1.0232,                0.99775,                      1,                  0.995,                0.92859,                0.41004,                0.29071,                0.89172,              0.0013862,              0.0013862,              0.0013862
                     34,                0.62577,                0.46797,                0.93576,                0.99833,                      1,                  0.995,                0.91942,                0.39228,                0.30733,                0.88057,              0.0013664,              0.0013664,              0.0013664
                     35,                0.58543,                0.42899,                0.87506,                0.99785,                      1,                  0.995,                0.95978,                0.39438,                0.27043,                0.88022,              0.0013466,              0.0013466,              0.0013466
                     36,                0.57638,                0.42796,                0.92515,                0.99976,                      1,                  0.995,                0.94002,                0.36179,                0.24982,                0.87759,              0.0013268,              0.0013268,              0.0013268
                     37,                 0.6079,                0.43906,                0.90776,                      1,                0.99942,                  0.995,                0.96341,                0.32729,                0.24551,                0.87725,               0.001307,               0.001307,               0.001307
                     38,                0.56854,                0.42479,                0.90353,                0.99606,                0.96296,                0.99293,                0.91281,                0.39568,                 0.3279,                0.88269,              0.0012872,              0.0012872,              0.0012872
                     39,                0.58461,                0.41222,                0.89539,                0.99769,                      1,                  0.995,                0.92401,                0.41378,                0.28802,                0.87054,              0.0012674,              0.0012674,              0.0012674
                     40,                0.56941,                0.44623,                0.88974,                0.99886,                      1,                  0.995,                0.93827,                0.36459,                0.27454,                 0.8681,              0.0012476,              0.0012476,              0.0012476
                     41,                0.56152,                0.41663,                0.91208,                0.99806,                      1,                  0.995,                0.94459,                0.35427,                0.28318,                 0.8811,              0.0012278,              0.0012278,              0.0012278
                     42,                0.59423,                 0.4269,                0.88606,                      1,                0.99961,                  0.995,                0.92001,                0.36463,                0.28037,                0.86633,               0.001208,               0.001208,               0.001208
                     43,                0.53782,                 0.3854,                 0.8995,                0.99929,                      1,                  0.995,                0.93806,                0.37288,                0.28865,                 0.8751,              0.0011882,              0.0011882,              0.0011882
                     44,                0.51424,                0.34773,                0.87052,                0.99815,                      1,                  0.995,                0.92736,                0.39502,                0.27444,                0.87292,              0.0011684,              0.0011684,              0.0011684
                     45,                0.53165,                0.37315,                0.89191,                0.99823,                      1,                  0.995,                 0.9399,                0.39058,                0.27726,                0.87966,              0.0011486,              0.0011486,              0.0011486
                     46,                0.56096,                0.40248,                0.92951,                0.99829,                      1,                  0.995,                0.94144,                 0.3637,                0.28534,                0.86803,              0.0011288,              0.0011288,              0.0011288
                     47,                0.54662,                0.41079,                0.92901,                0.99805,                      1,                  0.995,                0.94916,                0.35521,                0.27568,                0.86677,               0.001109,               0.001109,               0.001109
                     48,                 0.5529,                0.42016,                0.89787,                0.99795,                      1,                  0.995,                0.94802,                0.36446,                 0.2793,                0.87253,              0.0010892,              0.0010892,              0.0010892
                     49,                0.55353,                0.41697,                0.91579,                0.99773,                      1,                  0.995,                0.93001,                0.38448,                 0.2741,                0.86996,              0.0010694,              0.0010694,              0.0010694
                     50,                0.55248,                0.40245,                0.92263,                0.99848,                      1,                  0.995,                0.93586,                0.36192,                0.26307,                0.86256,              0.0010496,              0.0010496,              0.0010496
