                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.62,                 3.4069,                 3.4781,                 1.6262,                0.59892,                0.76739,                0.69963,                0.50399,                 0.5023,                0.62891,                0.49847,                0.26336,                0.92178,                 1.8978,                 1.4406,                0.96894,             0.00026672,             0.00026672,             0.00026672
                      2,                  0.969,                 1.7017,                 1.0638,                 1.0371,                0.89775,                0.92578,                0.96172,                0.58634,                0.88044,                0.91016,                0.94039,                0.50146,                0.93008,                 1.7525,                 1.5954,                0.96564,             0.00054902,             0.00054902,             0.00054902
                      3,                0.95653,                 1.5284,                 0.8145,                0.99695,                0.96852,                0.97864,                0.98851,                0.59671,                0.72876,                0.74908,                0.67028,                0.34121,                  1.274,                 2.5514,                 4.7616,                 1.3123,              0.0008302,              0.0008302,              0.0008302
                      4,                0.89132,                 1.4483,                0.86208,                 1.0179,                0.04396,                    0.5,                0.06387,                0.04416,                0.04396,                    0.5,                0.05819,                0.03764,                 1.0626,                 2.3834,                 25.304,                 1.1141,              0.0011103,              0.0011103,              0.0011103
                      5,                 1.0083,                 1.5818,                 0.7759,                 1.0452,                0.94137,                0.94217,                0.97351,                0.63216,                 0.7575,                0.76953,                0.76315,                0.37799,                0.88263,                 1.8509,                 2.6744,                0.99957,              0.0013892,              0.0013892,              0.0013892
                      6,                 0.9322,                 1.4894,                0.72211,                 1.0197,                0.96705,                0.96094,                0.99183,                0.48923,                0.69296,                0.71151,                 0.6266,                0.27615,                 1.3576,                 4.9779,                 1.2951,                 1.1961,              0.0016505,              0.0016505,              0.0016505
                      7,                 1.0226,                 1.5743,                0.92624,                 1.0381,                0.79284,                0.92692,                0.98002,                0.61301,                 0.7335,                0.78125,                0.81909,                0.47685,                0.94791,                 1.8514,                 1.6405,                 1.0006,              0.0016505,              0.0016505,              0.0016505
                      8,                0.95851,                 1.5982,                0.79605,                 1.0259,                0.90756,                 0.9565,                0.98167,                0.54814,                0.79107,                0.84752,                0.83597,                0.49186,                0.95732,                 2.4414,                 1.5338,                 1.0037,              0.0016472,              0.0016472,              0.0016472
                      9,                0.90714,                 1.4852,                0.72501,                0.98954,                0.84762,                0.92188,                0.97165,                0.50666,                0.65141,                 0.6875,                0.67362,                0.42636,                  1.117,                 1.6672,                 2.1707,                 1.0951,              0.0016439,              0.0016439,              0.0016439
                     10,                0.91798,                 1.5075,                0.68265,                0.99797,                0.53415,                0.96484,                0.60435,                0.29073,                0.50155,                 0.9375,                0.54389,                0.20623,                 1.1129,                 1.6952,                 5.1149,                 1.0726,              0.0016406,              0.0016406,              0.0016406
                     11,                0.87269,                 1.3163,                 0.6629,                0.98925,                0.81912,                0.88665,                0.84037,                0.42924,                0.40695,                  0.608,                0.42936,                0.26479,                 0.9412,                 1.8225,                 1.1301,                 1.0035,              0.0016373,              0.0016373,              0.0016373
                     12,                0.90937,                 1.3067,                0.63486,                 1.0072,                0.83689,                0.94531,                0.95433,                0.51396,                0.78769,                0.89844,                0.87986,                0.53178,                 1.0581,                 1.4818,                 1.6092,                 1.0747,               0.001634,               0.001634,               0.001634
                     13,                0.87192,                 1.2994,                0.62688,                0.99339,                0.86392,                0.84907,                0.97577,                0.59017,                0.81966,                0.82478,                0.92146,                0.47522,                0.99866,                 1.4781,                 0.7152,                 1.0542,              0.0016307,              0.0016307,              0.0016307
                     14,                   0.87,                 1.3556,                0.63375,                 1.0002,                0.98572,                0.95187,                 0.9842,                0.57717,                0.85566,                0.87961,                0.89435,                0.46476,                0.92567,                 1.3262,                0.63726,                 1.0033,              0.0016274,              0.0016274,              0.0016274
                     15,                0.86061,                  1.412,                0.62469,                0.98871,                0.95731,                0.98438,                0.98576,                0.54886,                0.89783,                0.92188,                0.88843,                0.48125,                 1.0597,                 1.4004,                0.62987,                 1.0576,              0.0016241,              0.0016241,              0.0016241
                     16,                0.80971,                 1.3364,                0.59669,                 0.9818,                0.99259,                 0.9761,                  0.988,                0.57538,                0.87763,                0.86762,                0.81988,                0.46531,                0.99328,                 1.3098,                 0.5536,                 1.0424,              0.0016208,              0.0016208,              0.0016208
                     17,                0.81789,                 1.2659,                0.54624,                0.98662,                0.99149,                0.94886,                0.99196,                0.57726,                0.97409,                0.93324,                 0.9563,                0.56236,                 1.1439,                   1.57,                0.66104,                 1.1149,              0.0016175,              0.0016175,              0.0016175
                     18,                0.76979,                 1.1522,                0.53147,                0.95024,                 0.9918,                0.95312,                0.98948,                0.61087,                 0.9918,                0.95312,                0.97955,                0.58403,                0.86025,                 1.1649,                0.63358,                0.97574,              0.0016142,              0.0016142,              0.0016142
                     19,                0.85514,                 1.2812,                0.55965,                0.98504,                0.92728,                0.96875,                0.98666,                0.60808,                0.73653,                0.79688,                0.70658,                0.40795,                0.90194,                 1.3949,                0.62712,                0.99506,              0.0016109,              0.0016109,              0.0016109
                     20,                0.79178,                 1.1759,                0.52493,                0.97688,                0.95999,                0.99551,                0.99356,                0.60243,                0.86789,                0.90344,                 0.8556,                0.49348,                 1.0085,                 1.3953,                0.66279,                 1.0457,              0.0016076,              0.0016076,              0.0016076
