                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2709,                  5.548,                 4.0554,                 2.2555,                 0.0012,                 0.0625,                0.00078,                0.00033,                0.00058,                0.04167,                0.00044,                0.00027,                 2.6303,                 4.7935,                 3.9951,                 2.8373,             0.00010002,             0.00010002,             0.00010002
                      2,                 1.4363,                  2.983,                 3.0016,                 1.6195,                0.11999,                0.87153,                0.16525,                0.10817,                0.10881,                0.80556,                0.13273,                0.05868,                 1.0307,                 3.0103,                    inf,                 1.3511,             0.00021456,             0.00021456,             0.00021456
                      3,                0.99789,                 1.6786,                 1.2194,                 1.1743,                0.52265,                0.69792,                0.50775,                0.33998,                0.45459,                0.63194,                0.39515,                 0.1535,                 1.5692,                 4.3673,                    inf,                 1.8429,              0.0003268,              0.0003268,              0.0003268
                      4,                0.94255,                 1.8707,                0.90565,                 1.1397,                0.58352,                0.91667,                 0.5908,                 0.4022,                0.45174,                0.76042,                0.40368,                0.15283,                 1.0077,                 5.9077,                 24.996,                 1.3073,             0.00043672,             0.00043672,             0.00043672
                      5,                 1.0503,                 1.7245,                 1.0073,                 1.1561,                0.37433,                0.84722,                0.38438,                0.25629,                0.13899,                0.62153,                0.15813,                0.10241,                 1.7916,                 11.134,                    inf,                  1.888,             0.00054434,             0.00054434,             0.00054434
                      6,                 1.0235,                 1.8174,                0.92324,                 1.1548,                0.01897,                0.48264,                0.02077,                0.00992,                0.01897,                0.48264,                0.02077,                0.00801,                 1.8693,                 34.047,                    inf,                 3.6159,             0.00064964,             0.00064964,             0.00064964
                      7,                  1.043,                 1.5406,                0.85566,                 1.1914,                0.50503,                0.36806,                0.26211,                0.18288,                0.50454,                0.33333,                0.26147,                0.18201,                 1.5529,                 7.6668,                    inf,                 2.0869,             0.00075263,             0.00075263,             0.00075263
                      8,                0.95075,                 1.6121,                0.80267,                 1.1438,                0.50503,                0.36806,                0.26211,                0.18288,                0.50454,                0.33333,                0.26147,                0.18201,                 4.5016,                 976.05,                    inf,                 55.229,             0.00085331,             0.00085331,             0.00085331
                      9,                0.96332,                 1.7246,                0.78418,                 1.1553,                0.00222,                0.16667,                0.00163,                0.00057,                0.00069,                0.05208,                0.00044,                0.00016,                  3.472,                  348.5,                    inf,                 14.481,             0.00095168,             0.00095168,             0.00095168
                     10,                0.99997,                 1.5224,                 0.7435,                 1.1534,                0.51117,                0.15278,                0.00539,                0.00194,                0.50939,                0.12847,                0.00346,                0.00109,                 3.2719,                 268.76,                    inf,                 13.362,              0.0010477,              0.0010477,              0.0010477
                     11,                  1.027,                 1.5353,                 0.7832,                 1.1764,                0.53836,                0.04861,                0.00946,                0.00245,                0.52547,                0.03125,                0.00498,                0.00067,                 4.2087,                 371.51,                 10.564,                  15.11,              0.0011415,              0.0011415,              0.0011415
                     12,                 1.1472,                 1.9136,                0.88489,                 1.1949,                0.09184,                0.57292,                0.04358,                0.01313,                0.09811,                0.55794,                0.05686,                0.02304,                 1.8894,                 10.225,                    inf,                 2.0541,              0.0012329,              0.0012329,              0.0012329
                     13,                0.95786,                 1.6183,                0.77465,                 1.1184,                0.05659,                0.48958,                0.02073,                0.01016,                0.01634,                0.47222,                0.01298,                0.00565,                 1.3323,                 6.9174,                    inf,                 1.6167,              0.0013221,              0.0013221,              0.0013221
                     14,                 1.0337,                 1.6207,                0.85047,                 1.1389,                0.21222,                0.89638,                0.30332,                0.16688,                0.13303,                0.70486,                0.19205,                0.08408,                 1.2286,                 4.2481,                 13.799,                 1.5036,              0.0014089,              0.0014089,              0.0014089
                     15,                0.98086,                 1.5527,                0.75391,                 1.1532,                0.66799,                0.32292,                0.32535,                0.16533,                0.64812,                0.28472,                0.25714,                0.11417,                 1.7968,                 4.8397,                 9.0327,                 1.9238,               0.001436,               0.001436,               0.001436
                     16,                0.99006,                 1.6644,                0.78651,                 1.1628,                0.45894,                0.51389,                0.45452,                0.21325,                0.42747,                0.48611,                0.42168,                0.17596,                 2.2024,                 4.6491,                 5.1898,                 2.0786,               0.001436,               0.001436,               0.001436
                     17,                 1.0185,                 1.5336,                0.74767,                 1.1498,                0.31263,                0.27083,                0.25511,                0.11156,                0.24702,                   0.25,                0.19892,                0.08429,                   2.26,                 4.9755,                 4.7542,                 2.1298,              0.0014195,              0.0014195,              0.0014195
                     18,                 1.0188,                 1.6121,                0.71411,                  1.162,                0.36684,                0.46875,                0.36098,                0.17273,                0.30878,                0.39931,                0.26366,                 0.1114,                 2.6491,                 6.2124,                 3.4249,                 2.2858,              0.0014029,              0.0014029,              0.0014029
                     19,                 1.0179,                 1.3951,                0.67429,                 1.1959,                0.23908,                0.35069,                0.20099,                0.08675,                0.19668,                0.26042,                0.15312,                0.05886,                 3.5577,                 11.127,                 3.7496,                 3.0295,              0.0013864,              0.0013864,              0.0013864
                     20,                 1.0665,                 1.4779,                0.76883,                 1.2083,                0.39698,                 0.2351,                0.27537,                0.18888,                 0.3205,                 0.2108,                0.24094,                0.12094,                 1.6915,                 4.0468,                 1.9595,                 1.6084,              0.0013699,              0.0013699,              0.0013699
                     21,                0.95658,                 1.3647,                0.72559,                 1.1206,                0.39145,                0.34028,                0.38025,                0.27708,                0.38244,                0.33681,                0.37541,                0.23898,                 1.1898,                 2.8436,                 1.7061,                 1.3595,              0.0013534,              0.0013534,              0.0013534
                     22,                0.94045,                 1.4892,                0.70994,                 1.1127,                0.28569,                0.31012,                0.29918,                0.20553,                0.28609,                0.31114,                0.29812,                0.17939,                 1.2608,                 3.6562,                 2.8725,                 1.4791,              0.0013369,              0.0013369,              0.0013369
                     23,                0.92424,                 1.5693,                 0.6826,                 1.1192,                0.34796,                 0.3258,                0.33503,                0.23713,                0.34912,                0.31335,                0.32763,                0.18275,                 1.1077,                 3.2174,                 2.0911,                 1.2962,              0.0013204,              0.0013204,              0.0013204
                     24,                0.89992,                 1.4772,                0.70171,                 1.1168,                 0.7776,                0.59631,                0.73629,                0.47269,                0.68639,                0.39236,                0.46797,                0.16185,                 1.3816,                 9.7647,                 1.4765,                 1.4839,              0.0013039,              0.0013039,              0.0013039
